Caso,Custo Inicial,Custo Final,Percentual,Tempo (s)
bbara,618.9393128245247,519.1103914012142,0.16129032258064524,160.52440774000024
bbsse,1188.0,924.0,0.2222222222222222,186.39381914499972
bbtas,192.56842503028855,123.79398751947122,0.3571428571428571,120.1384039500008
beecount,331.5971657911106,276.3309714925922,0.16666666666666663,128.70088864299942
cse,1650.0,1518.0,0.07999999999999996,260.99140971999987
donfile,750.1955000865388,750.1955000865388,0.0,290.46735456100214
keyb,1552.1642571778607,1379.7015619358763,0.11111111111111105,491.75369847600086
lion,77.0,66.0,0.1428571428571429,111.93932952400064
modulo12,192.56842503028855,178.8135375281251,0.0714285714285714,125.15651788299874
s1,3181.8863699042504,2902.1600956269535,0.08791208791208793,355.85523451300105
s1a,2692.3653899189812,2587.468037064995,0.038961038961038974,305.31256395200035
sand,4600.0,4600.0,0.0,560.2644819029993
shiftreg,48.0,48.0,0.0,125.81540089300324
sse,1155.0,990.0,0.1428571428571429,202.85173546399892
styr,4870.1565836981135,4314.787850469381,0.11403508771929838,736.4248325560002
tav,198.0,180.0,0.09090909090909094,128.1439189979974
train11,246.05271769459029,199.91783312685462,0.1875,140.79238125100164
